,jd,mag,mag_unc,filter,limmag,programid
0,44244.00021965305,99.0,99.0,g,22.0,0.0
1,44244.00021965305,99.0,99.0,i,0.0,0.0
2,44244.00021965305,99.0,99.0,r,0.0,0.0
3,44244.50021965305,20.57591836082656,0.1,g,22.0,0.0
4,44244.50021965305,99.0,99.0,i,0.0,0.0
5,44244.50021965305,99.0,99.0,r,0.0,0.0
6,44245.00021965305,19.27297339306235,0.1,g,22.0,0.0
7,44245.00021965305,99.0,99.0,i,0.0,0.0
8,44245.00021965305,99.0,99.0,r,0.0,0.0
9,44245.50021965305,19.341646336311275,0.1,g,22.0,0.0
10,44245.50021965305,99.0,99.0,i,0.0,0.0
11,44245.50021965305,99.0,99.0,r,0.0,0.0
12,44246.00021965305,19.979393335801436,0.1,g,22.0,0.0
13,44246.00021965305,99.0,99.0,i,0.0,0.0
14,44246.00021965305,99.0,99.0,r,0.0,0.0
15,44246.50021965305,99.0,99.0,i,0.0,0.0
16,44246.50021965305,99.0,99.0,r,0.0,0.0
17,44246.50021965305,20.613189659185625,0.1,g,22.0,0.0
18,44247.00021965305,99.0,99.0,r,0.0,0.0
19,44247.00021965305,21.456595186917294,0.1,g,22.0,0.0
20,44247.00021965305,99.0,99.0,i,0.0,0.0
21,44247.50021965305,99.0,99.0,r,0.0,0.0
22,44247.50021965305,99.0,99.0,g,22.0,0.0
23,44247.50021965305,99.0,99.0,i,0.0,0.0
24,44248.00021965305,99.0,99.0,r,0.0,0.0
25,44248.00021965305,99.0,99.0,g,22.0,0.0
26,44248.00021965305,99.0,99.0,i,0.0,0.0
27,44248.50021965305,99.0,99.0,r,0.0,0.0
28,44248.50021965305,99.0,99.0,g,22.0,0.0
29,44248.50021965305,99.0,99.0,i,0.0,0.0
30,44249.00021965305,99.0,99.0,r,0.0,0.0
31,44249.00021965305,99.0,99.0,i,0.0,0.0
32,44249.00021965305,99.0,99.0,g,22.0,0.0
33,44249.50021965305,99.0,99.0,i,0.0,0.0
34,44249.50021965305,99.0,99.0,r,0.0,0.0
35,44249.50021965305,99.0,99.0,g,22.0,0.0
36,44250.00021965305,99.0,99.0,i,0.0,0.0
37,44250.00021965305,99.0,99.0,r,0.0,0.0
38,44250.00021965305,99.0,99.0,g,22.0,0.0
39,44250.50021965305,99.0,99.0,i,0.0,0.0
40,44250.50021965305,99.0,99.0,r,0.0,0.0
41,44250.50021965305,99.0,99.0,g,22.0,0.0
42,44251.00021965305,99.0,99.0,i,0.0,0.0
43,44251.00021965305,99.0,99.0,r,0.0,0.0
