R14_med R14_uperr R14_lowerr
1.184384582324940816e+01 1.282470149448043273e+00 1.200000216589522495e+00
1.157487406589121903e+01 9.387033958268613532e-01 1.076238900044447888e+00
1.149559128630024496e+01 7.760772296372397960e-01 1.037290526466376761e+00
1.145060436184681407e+01 7.224771013315454127e-01 8.993758702174510233e-01
1.142932380099553669e+01 6.734410123477729826e-01 8.152426378155688269e-01
1.141617669543600755e+01 6.387554825009296167e-01 7.075141752570388576e-01
1.141272626297987536e+01 5.902372449491775086e-01 6.573153378345164555e-01
1.141315915872919717e+01 5.626638983907490399e-01 5.844826958603803746e-01
1.140930978030896448e+01 5.362826767432036235e-01 5.031031644980306083e-01
1.140705476850664013e+01 5.156872603759126150e-01 4.621936680395997143e-01
1.140894601847859846e+01 4.909551086388930230e-01 4.198071711823558871e-01
1.140934583381269540e+01 4.781422373655992430e-01 4.028927327074622866e-01
1.141090208857587029e+01 4.589575453319412190e-01 3.900398885922484737e-01
1.141648694843674505e+01 4.354088718710720229e-01 3.737188688192123465e-01
1.141437031224777598e+01 4.272026623174483007e-01 3.566739280278845570e-01
1.142023302507098848e+01 4.104626779613695930e-01 3.436927723375120536e-01
1.142372831330789751e+01 3.968398165086313156e-01 3.410121225305289272e-01
1.142175655470987117e+01 3.865396869805088897e-01 3.361144909362216993e-01
1.142364100807763450e+01 3.749159768996221942e-01 3.327255588544204556e-01
1.142780097604867251e+01 3.633888433374163895e-01 3.270821085100905634e-01
1.143341984912080811e+01 3.561633853371990455e-01 3.224221517808114612e-01
1.143767863702744947e+01 3.468739634982114239e-01 3.143799986635222865e-01
1.143949071452314570e+01 3.427389708324213302e-01 3.101988068106074081e-01
1.144413107335433999e+01 3.307368174784546255e-01 3.101614260709499860e-01
1.144683312144693055e+01 3.219408048248872944e-01 3.015577366714889962e-01
1.144729818663837229e+01 3.175467256698976115e-01 2.974140080994107649e-01
1.145276451110013483e+01 3.109471613671317414e-01 3.022761888112022177e-01
1.145665655215384859e+01 3.096621932468224259e-01 2.986075223916451193e-01
1.145805257098206553e+01 3.056572701810189585e-01 2.928952104053887950e-01
1.146074050300070013e+01 2.948862498496822582e-01 2.910388168327813219e-01
1.146545073356685585e+01 2.878944617549894502e-01 2.891491164697281846e-01
1.147146891863852680e+01 2.819914034942083703e-01 2.891540689785738749e-01
1.147090500809001234e+01 2.843390320106617963e-01 2.868407964320880410e-01
1.147663909469538979e+01 2.776866868985159442e-01 2.851548147094611352e-01
1.148203020735441093e+01 2.707117178112810052e-01 2.858345833024014127e-01
1.148859763802479605e+01 2.636039318579026514e-01 2.867444614821792470e-01
1.149281521211905144e+01 2.618095803581930170e-01 2.861615779169106588e-01
1.149992515890217426e+01 2.576536773975330874e-01 2.899201809502471860e-01
1.150722901424736833e+01 2.552690687327654473e-01 2.908748723659950741e-01
1.151259386150198871e+01 2.575655564752903359e-01 2.864993048416586419e-01
