# Mmax pdet
1.500000000000000000e+00 6.986500000000001043e-02
1.550000000000000044e+00 7.158799999999999886e-02
1.600000000000000089e+00 7.577000000000000401e-02
1.649999999999999911e+00 7.975300000000000444e-02
1.699999999999999956e+00 8.398500000000000409e-02
1.750000000000000000e+00 7.568999999999999340e-02
1.800000000000000044e+00 8.280599999999997685e-02
1.850000000000000089e+00 9.222899999999999154e-02
1.899999999999999911e+00 8.974799999999999445e-02
1.949999999999999956e+00 1.029469999999999968e-01
2.000000000000000000e+00 1.060379999999999934e-01
2.049999999999999822e+00 1.118619999999999892e-01
2.100000000000000089e+00 1.074600000000000000e-01
2.149999999999999911e+00 1.122729999999999978e-01
2.200000000000000178e+00 1.194379999999999886e-01
2.250000000000000000e+00 1.257949999999999902e-01
2.299999999999999822e+00 1.217340000000000089e-01
2.350000000000000089e+00 1.273229999999999917e-01
2.399999999999999911e+00 1.306289999999999951e-01
2.450000000000000178e+00 1.370699999999999974e-01
2.500000000000000000e+00 1.416949999999999876e-01
2.549999999999999822e+00 1.411339999999999539e-01
2.600000000000000089e+00 1.390809999999999824e-01
2.650000000000000355e+00 1.528569999999999929e-01
2.700000000000000178e+00 1.572379999999999889e-01
2.750000000000000000e+00 1.609160000000000035e-01
2.799999999999999822e+00 1.638930000000000109e-01
2.850000000000000089e+00 1.743029999999999857e-01
2.900000000000000355e+00 1.724159999999999859e-01
2.950000000000000178e+00 1.730629999999999946e-01
3.000000000000000000e+00 1.843899999999999983e-01
