simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
39	2.4084685	0.086911397	0.26154381	296.42256	2.3524033	2.0449923	-0.1767555	-0.014443236	1.8033876419067383	-2.7426302433013916	1026060430	666605115	1026060430.654872
47	2.434501	-0.44445802	2.6385445	512.32819	1.8709302	1.5844556	0.12146003	0.17324942	5.804675579071045	1.1026228666305542	1001128439	894866824	1001128439.914347
61	4.9260559	0.77806619	2.7293805	548.67382	2.0140382	1.9691527	-0.21953715	-0.19908697	3.5845978260040283	3.014039993286133	1003627478	925870895	1003627478.906444
85	4.6484458	0.3994863	0.98852277	202.2241	2.162526	1.6608185	-0.067177778	0.012920302	3.8101048469543457	-0.6087339520454407	1008267304	960808992	1008267304.940782
99	0.74084987	-0.15450337	2.4096784	248.38971	1.5296106	1.4760985	0.30110241	-0.067942275	5.299139499664307	2.078540563583374	1009003750	633914471	1009003750.626392
100	6.0422185	-0.82245846	2.5673898	322.97238	2.0920431	1.6067648	0.045075312	0.1718562	4.676052093505859	1.5530166625976562	1000314673	422108650	1000314673.442261
116	3.0974585	-0.68239946	1.1365684	214.08979	2.6993959	1.6709211	0.37668724	-0.05015348	3.2971739768981934	-0.20948374271392822	1011303961	804257751	1011303961.8245
118	0.22181978	-1.0038999	1.7644685	353.37214	2.7121627	2.5585066	-0.38185006	0.1592998	2.405428886413574	-2.7576749324798584	1015152164	683887959	1015152164.702627
128	2.4400603	1.3253426	0.62853526	330.61691	2.1099369	1.4581967	0.0098702219	0.0047005946	1.8055390119552612	-0.8059364557266235	1028999168	418889999	1028999168.402447
131	0.85922384	-0.91662939	2.0270559	176.01394	1.8034991	1.4037645	0.09718093	-0.049443146	5.695212364196777	2.258854627609253	1029903313	155454755	1029903313.171134
134	2.8824834	-0.18194166	2.6717784	642.38842	2.9108419	1.398045	-0.01222341	0.041867228	3.16938853263855	1.109404444694519	1014232326	496415257	1014232326.514454
135	1.2494087	-0.65017802	0.67286493	252.98103	1.6987914	1.4178988	-0.05664085	0.3000103	1.3817145824432373	-0.1577765941619873	1001881688	405323625	1001881688.424027
146	2.9124411	-1.124759	2.0826885	266.22379	1.9860359	1.4187446	0.024371051	-0.0064244607	0.28555262088775635	2.4277749061584473	1013797580	229056597	1013797580.247523
159	3.2766243	0.17193163	2.2850471	329.61565	2.2138345	1.3745482	-0.10477087	0.15506444	2.35776686668396	2.4802463054656982	1004899283	819711566	1004899283.80429
162	0.21553895	1.1719583	2.5816087	584.86725	2.3113812	1.7016935	-0.24750953	0.28812079	0.19145342707633972	2.6114604473114014	1019928499	452717304	1019928499.434083
165	4.8161088	-1.2955216	2.4875824	173.67524	2.085473	1.7862676	-0.075195322	-0.37772242	6.242918014526367	-1.7931584119796753	1027137101	967010975	1027137101.978638
169	2.6636977	-1.1281262	0.36931392	370.80389	1.6524845	1.3496192	-0.14952624	-0.10593118	2.354285478591919	-3.016402006149292	1023903358	45019388	1023903358.061279
187	4.0165991	0.50657333	0.53762049	409.21088	2.8327512	2.2946444	0.9646218	-0.085915434	1.6665419340133667	0.9530418515205383	1009562493	707424879	1009562493.690197
195	3.4829313	0.59753761	2.9313987	283.49975	2.3357767	1.5615813	0.045634532	-0.059704558	3.5523056983947754	1.9421703815460205	1008333985	841132879	1008333985.823242
213	0.99768505	0.62898513	0.77175986	597.98916	2.9660422	2.7307576	0.057743466	-0.27222052	0.32981929183006287	2.1214182376861572	1025624227	956337810	1025624227.935611
230	2.3545364	0.95296988	0.51816305	264.61332	2.238126	2.2124294	0.30355054	-0.015296327	2.0890932083129883	0.1659359186887741	1017356893	361666560	1017356893.345825
235	4.0064508	0.55932509	2.438276	285.24977	1.6721379	1.5756188	-0.23725997	0.095855491	3.0331122875213623	-2.1386473178863525	1015085224	543776035	1015085224.532001
257	4.9323555	0.67865002	0.48871369	431.68682	2.4819136	2.3575962	0.0039534624	0.17760244	5.022706031799316	1.7219120264053345	1010865638	251975536	1010865638.232948
258	3.1695342	-0.29969188	0.27127156	152.95628	1.4802995	1.2294189	-0.041405583	0.13460349	2.9244441986083984	0.8557486534118652	1001846157	116204023	1001846157.127632
261	0.88703221	0.43816993	0.75797817	360.4261	2.9099075	1.4063194	0.5953834	0.040575161	4.478219985961914	-1.4706387519836426	1005713738	929236	1005713737.981328
